year,month,value
2021,1,WD:21|CD:31
2021,2,WD:20|CD:28
2021,3,WD:23|CD:31
2021,4,WD:22|CD:30
2021,5,WD:21|CD:31
2021,6,WD:22|CD:30
2021,7,WD:22|CD:31
2021,8,WD:22|CD:31
2021,9,WD:22|CD:30
2021,10,WD:21|CD:31
2021,11,WD:22|CD:30
2021,12,WD:23|CD:31
2022,1,WD:21|CD:31
2022,2,WD:20|CD:28
2022,3,WD:23|CD:31
2022,4,WD:21|CD:30
2022,5,WD:22|CD:31
2022,6,WD:22|CD:30
2022,7,WD:21|CD:31
2022,8,WD:23|CD:31
2022,9,WD:22|CD:30
2022,10,WD:21|CD:31
2022,11,WD:22|CD:30
2022,12,WD:22|CD:31
2023,1,WD:22|CD:31
2023,2,WD:20|CD:28
2023,3,WD:23|CD:31
2023,4,WD:20|CD:30
2023,5,WD:23|CD:31
2023,6,WD:22|CD:30
2023,7,WD:21|CD:31
2023,8,WD:23|CD:31
2023,9,WD:21|CD:30
2023,10,WD:22|CD:31
2023,11,WD:22|CD:30
2023,12,WD:21|CD:31
2024,1,WD:23|CD:31
2024,2,WD:21|CD:29
2024,3,WD:21|CD:31
2024,4,WD:22|CD:30
2024,5,WD:23|CD:31
2024,6,WD:20|CD:30
2024,7,WD:23|CD:31
2024,8,WD:22|CD:31
2024,9,WD:21|CD:30
2024,10,WD:23|CD:31
2024,11,WD:21|CD:30
2024,12,WD:22|CD:31
2025,1,WD:23|CD:31
2025,2,WD:20|CD:28
2025,3,WD:21|CD:31
2025,4,WD:22|CD:30
2025,5,WD:22|CD:31
2025,6,WD:21|CD:30
2025,7,WD:23|CD:31
2025,8,WD:21|CD:31
2025,9,WD:22|CD:30
2025,10,WD:23|CD:31
2025,11,WD:20|CD:30
2025,12,WD:23|CD:31
