feature,importance
lag_12m_cny_adj,0.5568955
sales_lag_12m,0.16370104
composition_curr_pct,0.092270225
is_peak_month,0.05758035
comp_x_lag12,0.037185553
composition_prev_pct,0.036249872
month_cos,0.01218609
report_month,0.006814084
sales_lag_3m,0.0048619006
sales_lag_1m,0.0044026156
lead_1_mid_autumn,0.003962852
sales_rolling_3m_mean,0.003821607
has_lunar_new_year,0.0029729796
cny_shift_signal,0.002955451
month_sin,0.0025130962
trend_yoy_adj,0.0022730508
sales_lag_6m,0.0017526493
sales_festival_midautumn_lag1y,0.0015711398
sales_rolling_6m_mean,0.001418993
yoy_estimate,0.0013335205
sales_festival_cny_lag1y,0.00095681526
year_in_regime,0.0008581775
working_days,0.0005339816
lead_1_lunar_new_year,0.0004781259
calendar_days,0.00045018387
has_mid_autumn,8.1475456e-08
lunar_new_year_day,0.0
threshold_ceiling,0.0
threshold_floor,0.0
mid_autumn_day,0.0
midautumn_shift_signal,0.0
