group,model,val_mape_pct
GIFT_LOW,SeasonalNaive12,22.49919088879802
GIFT_LOW,TrendNaive,24.73123968006243
GIFT_LOW,ETS_HoltWinters,24.688264033193544
GIFT_LOW,Ridge_10,29.55734317409286
GIFT_LOW,Ridge_100,26.145636626322815
GIFT_LOW,ElasticNet,32.96354192860503
GIFT_LOW,RandomForest,21.15516176930949
GIFT_LOW,RandomForest_shallow,23.426060242334714
GIFT_LOW,XGBoost,17.537002931366153
GIFT_LOW,XGBoost_tight,20.838440759637457
GIFT_LOW,Ridge_10_log1p,29.382634136087553
GIFT_LOW,Ridge_100_log1p,22.88665305016265
GIFT_LOW,ElasticNet_log1p,23.61106679043165
GIFT_LOW,RandomForest_log1p,24.07374453006421
GIFT_LOW,RandomForest_shallow_log1p,25.889692362127917
GIFT_LOW,XGBoost_log1p,22.862865174986254
GIFT_LOW,XGBoost_tight_log1p,27.697129199392496
GIFT_LOW,Ridge_10_yoy_ratio,68743.46824283278
GIFT_LOW,Ridge_100_yoy_ratio,74858.36524582826
GIFT_LOW,ElasticNet_yoy_ratio,32439.05874514218
GIFT_LOW,RandomForest_yoy_ratio,5724.694445699104
GIFT_LOW,RandomForest_shallow_yoy_ratio,5392.994458969495
GIFT_LOW,XGBoost_yoy_ratio,8861730.594122374
GIFT_LOW,XGBoost_tight_yoy_ratio,1533490.997216651
GIFT_LOW,Ridge_10_rw,30.376972800065687
GIFT_LOW,Ridge_100_rw,27.888964200876146
GIFT_LOW,ElasticNet_rw,33.139489813471464
GIFT_LOW,RandomForest_rw,20.098141204878388
GIFT_LOW,RandomForest_shallow_rw,22.54976813298054
GIFT_LOW,XGBoost_rw,16.11722809139211
GIFT_LOW,XGBoost_tight_rw,18.97314499846831
GIFT_LOW,Ridge_10_log1p_rw,29.030682023073183
GIFT_LOW,Ridge_100_log1p_rw,23.220251961489588
GIFT_LOW,ElasticNet_log1p_rw,21.654831450846565
GIFT_LOW,RandomForest_log1p_rw,22.46062557912806
GIFT_LOW,RandomForest_shallow_log1p_rw,23.68517320800966
GIFT_LOW,XGBoost_log1p_rw,21.49378274737808
GIFT_LOW,XGBoost_tight_log1p_rw,25.96717070859213
GIFT_LOW,Ensemble_top3,inf
GIFT_HIGH,SeasonalNaive12,29.318129637003693
GIFT_HIGH,TrendNaive,40.16458421319856
GIFT_HIGH,ETS_HoltWinters,53.31717772902661
GIFT_HIGH,Ridge_10,41.36888689450615
GIFT_HIGH,Ridge_100,44.30772857763396
GIFT_HIGH,ElasticNet,49.925032538677925
GIFT_HIGH,RandomForest,36.865711509897444
GIFT_HIGH,RandomForest_shallow,36.90854624111849
GIFT_HIGH,XGBoost,28.676612247388633
GIFT_HIGH,XGBoost_tight,30.237563756398565
GIFT_HIGH,Ridge_10_log1p,37.4306884588641
GIFT_HIGH,Ridge_100_log1p,39.40133527331222
GIFT_HIGH,ElasticNet_log1p,60.54995464576419
GIFT_HIGH,RandomForest_log1p,31.60556804000523
GIFT_HIGH,RandomForest_shallow_log1p,32.81645543869639
GIFT_HIGH,XGBoost_log1p,29.541563460716496
GIFT_HIGH,XGBoost_tight_log1p,43.468635393148524
GIFT_HIGH,Ridge_10_yoy_ratio,1123.3342094484383
GIFT_HIGH,Ridge_100_yoy_ratio,1317.7725043010296
GIFT_HIGH,ElasticNet_yoy_ratio,99.86042842952529
GIFT_HIGH,RandomForest_yoy_ratio,88080.82171958922
GIFT_HIGH,RandomForest_shallow_yoy_ratio,86871.72837569592
GIFT_HIGH,XGBoost_yoy_ratio,7427000.940527398
GIFT_HIGH,XGBoost_tight_yoy_ratio,1771976.171818018
GIFT_HIGH,Ridge_10_rw,44.65816383523182
GIFT_HIGH,Ridge_100_rw,52.07020579581177
GIFT_HIGH,ElasticNet_rw,53.54696852975315
GIFT_HIGH,RandomForest_rw,35.710030799797494
GIFT_HIGH,RandomForest_shallow_rw,35.94924292549708
GIFT_HIGH,XGBoost_rw,27.71330519352862
GIFT_HIGH,XGBoost_tight_rw,29.483243143685506
GIFT_HIGH,Ridge_10_log1p_rw,35.05321946480018
GIFT_HIGH,Ridge_100_log1p_rw,35.71443130675979
GIFT_HIGH,ElasticNet_log1p_rw,58.521469390096605
GIFT_HIGH,RandomForest_log1p_rw,31.584738267973762
GIFT_HIGH,RandomForest_shallow_log1p_rw,32.333843821893396
GIFT_HIGH,XGBoost_log1p_rw,27.724747446844738
GIFT_HIGH,XGBoost_tight_log1p_rw,40.48034681771993
GIFT_HIGH,Ensemble_top3,inf
GIFT_LARGE,SeasonalNaive12,29.511904253716786
GIFT_LARGE,TrendNaive,48.04487521759053
GIFT_LARGE,ETS_HoltWinters,29.13570876861036
GIFT_LARGE,Ridge_10,77.8168943814552
GIFT_LARGE,Ridge_100,68.3500554681116
GIFT_LARGE,ElasticNet,64.9098630728525
GIFT_LARGE,RandomForest,22.83532562837128
GIFT_LARGE,RandomForest_shallow,24.760552758414953
GIFT_LARGE,XGBoost,20.844015817412284
GIFT_LARGE,XGBoost_tight,29.04217933682937
GIFT_LARGE,Ridge_10_log1p,53.85093387646234
GIFT_LARGE,Ridge_100_log1p,35.54769762359061
GIFT_LARGE,ElasticNet_log1p,21.4866898549488
GIFT_LARGE,RandomForest_log1p,23.06380957580287
GIFT_LARGE,RandomForest_shallow_log1p,25.19372962721137
GIFT_LARGE,XGBoost_log1p,25.865377759337427
GIFT_LARGE,XGBoost_tight_log1p,45.457959986851996
GIFT_LARGE,Ridge_10_yoy_ratio,1.767187092953764e+20
GIFT_LARGE,Ridge_100_yoy_ratio,3.380092362361104e+20
GIFT_LARGE,ElasticNet_yoy_ratio,5.907205683625289e+20
GIFT_LARGE,RandomForest_yoy_ratio,82.64950533256723
GIFT_LARGE,RandomForest_shallow_yoy_ratio,79.70290559111407
GIFT_LARGE,XGBoost_yoy_ratio,67.67754956858563
GIFT_LARGE,XGBoost_tight_yoy_ratio,584.9049240773074
GIFT_LARGE,Ensemble_top3,inf
GIFT_COMBINED,SeasonalNaive12,22.915233101588186
GIFT_COMBINED,TrendNaive,23.097491800770147
GIFT_COMBINED,ETS_HoltWinters,27.834249319421833
GIFT_COMBINED,Ridge_10,28.10971723909726
GIFT_COMBINED,Ridge_100,33.96152626216049
GIFT_COMBINED,ElasticNet,28.287691455998612
GIFT_COMBINED,RandomForest,23.3025689402656
GIFT_COMBINED,RandomForest_shallow,23.700164792592645
GIFT_COMBINED,XGBoost,21.11371232128117
GIFT_COMBINED,XGBoost_tight,23.45287858883524
GIFT_COMBINED,Ridge_10_log1p,34.58402392643843
GIFT_COMBINED,Ridge_100_log1p,32.845161736370926
GIFT_COMBINED,ElasticNet_log1p,33.50327374909975
GIFT_COMBINED,RandomForest_log1p,26.457791528927977
GIFT_COMBINED,RandomForest_shallow_log1p,27.242697358662095
GIFT_COMBINED,XGBoost_log1p,24.491419660449022
GIFT_COMBINED,XGBoost_tight_log1p,31.51384428720007
GIFT_COMBINED,Ridge_10_yoy_ratio,10977.071682708409
GIFT_COMBINED,Ridge_100_yoy_ratio,12316.245645680281
GIFT_COMBINED,ElasticNet_yoy_ratio,168.0655129547822
GIFT_COMBINED,RandomForest_yoy_ratio,491.60774474028295
GIFT_COMBINED,RandomForest_shallow_yoy_ratio,517.1388630027825
GIFT_COMBINED,XGBoost_yoy_ratio,34.85364547051536
GIFT_COMBINED,XGBoost_tight_yoy_ratio,381.84845417473116
GIFT_COMBINED,Ensemble_top3,inf
